ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
29.1898,22.8382,DEV,0.5406,0.531,21.4848,19.4827,18.1745
29.2248,16.9395,SER,-99,0.5554,21.5215,19.5799,18.2463
29.254,30.1609,SER,-99,0.3412,19.7099,18.4042,17.4912
29.265,4.7317,REX,-99,0.1029,19.3719,18.8485,18.5471
29.3004,28.3745,DEV,0.6651,0.7306,23.0775,21.2579,19.574
29.3242,19.9161,SER,-99,0.9329,21.4137,20.8208,19.7037
29.3464,32.1822,SER,-99,0.2844,20.3792,18.9061,18.0851
29.348,14.9159,SER,-99,0.1123,19.5377,18.5574,17.8584
29.3589,22.1624,DEV,0.298,0.3219,20.6528,18.9256,18
29.3653,-6.5602,DEV,0.5135,0.5178,21.3873,19.4987,18.3247
29.3832,-5.0875,SER,0.3031,0.267,19.3049,17.8541,16.9414
29.3839,-19.4513,SER,-99,0.6341,21.541,19.6312,18.1339
29.3842,16.5679,SER,0.2229,0.2369,17.8655,16.4225,15.6235
29.3902,-12.7916,SER,-99,0.3415,21.287,19.8001,18.9795
29.3945,-3.8961,DEV,-99,0.7018,22.5044,20.7886,19.2786
29.4035,17.9152,DEV,-99,0.1768,20.4032,19.9754,19.7058
29.4096,-45.5122,SER,-99,0.2456,19.6072,18.7297,18.1834
29.4147,-18.8437,SER,-99,0.2231,19.3066,18.0552,17.3402
29.4173,-37.4455,SER,-99,0.7537,21.0812,20.21,18.9163
29.4181,-21.8199,SER,-99,0.2798,20.281,18.8397,18.1227
29.4215,-24.9243,SER,-99,0.4012,20.3038,18.4922,17.5307
29.4223,-7.9594,SER,-99,0.1947,19.7056,19.0331,18.5516
29.4237,15.557,SER,-99,0.7993,22.8909,20.8425,18.8714
29.4289,-19.2696,SER,-99,0.6041,21.2525,19.3749,17.9462
29.4327,-10.7625,SER,-99,0.2979,20.2876,19.5133,18.7993
29.4329,-14.5864,SER,-99,0.2631,21.11,20.0913,19.2669
29.433,-14.5855,DEV,-99,0.3104,19.5744,17.9375,17.0856
29.4341,-15.1507,SER,-99,0.5059,20.8709,18.9788,17.8112
